display_id	num_comms
SBqSc91Hn9g	0.0
UuugEl86ESY	0.0
oB4c-yvnbjs	48.0
ZaV-gTCMV8E	6.0
cGvL7AvMfM0	5.0
iVADSRjaLtQ	0.0
ypVcK9mldPc	0.0
qA1NayP9cNY	0.0
CWdSl9ta4Rg	0.0
64dCTkxCHpY	0.0
rU2iDhVd-bI	0.0
y5IvyZlzELs	0.0
riSUG1R4Ckw	2.0
C_dN36VjbZA	0.0
E_cfDMDd0YM	0.0
zuwQeKIhp2o	0.0
dzcd5pen7Cw	0.0
qYLAxjuoDtI	0.0
L_n9FljLN-c	0.0
srfrVHb8KGw	0.0
YYgz_f1mVoo	0.0
yYX_fd3vBak	0.0
FdaF3_rslKA	0.0
m1agc0qT0BY	0.0
2S-hA_CxYDg	0.0
rr6tfbBA9iY	0.0
f3RQOXSebXk	0.0
y0yZg_1B-ok	0.0
HOClBGb3ZPk	109.0
PMKnqTo3t1c	0.0
_LACXg2FSgQ	2.0
5-Z8nVPZ6l8	0.0
QDySOjlP2SY	0.0
G7Zjjr2sQ64	0.0
ZGll5_wD9Ys	0.0
kYkokQgnu20	50.0
9EuAW3zjWuc	0.0
HYwEVBvedG8	0.0
mUwMw_s4cB8	0.0
-f7XHBpdWYg	0.0
QZwJwNiPMPI	0.0
s5rdk9eOIOw	0.0
FToHbfewMPQ	0.0
iB2r9JLnmF0	3.0
449ZhxdISkY	0.0
LJzkXviTKfg	0.0
ig-ke51rZxQ	0.0
iRzN1DE-VOQ	0.0
HPPETT-m4QQ	0.0
zrdw9Ewy8YA	1.0
KNNV-8qP6Nw	0.0
9zhYO3tjGhg	0.0
JsvlQN1nd44	1.0
2bQhi6Vm71g	0.0
TqKQniMamfY	0.0
h_Qa3blfEoc	5.0
XeI3awKmPQI	41.0
IEn70SHsYaQ	47.0
F4DP5Yurl6c	0.0
sljGHIfoiKI	0.0
LIXogIe8AIY	0.0
n6J1rDKn3aw	0.0
oKRWmxyMgkE	0.0
J_WLXskvMQo	0.0
b9KPNinDrCQ	1.0
23gt1ZBHnrg	0.0
fRngB43y4mU	0.0
fZ9PTqiNLoQ	1.0
WHRbi6RH3ZY	0.0
zzX6nkSu5ms	0.0
qWMuC35RwjI	6.0
cmF2YOR1P04	0.0
SVSZsPw7vhg	0.0
3Vyl6WlT380	0.0
BfciC6SJtmg	1.0
6wVPBJrRmiw	0.0
D8FKC5RxsdA	0.0
SDfkB71vVag	1.0
iHHRx1NJ9f0	0.0
SjENd3Xmmek	3.0
MpBqSDoue9s	0.0
PSWHu6jiw5I	0.0
WnvSdkMMic0	0.0
0-ZUEgpE_4A	0.0
iB3MKb6M7mI	0.0
w_Atc6MdRNU	0.0
VfVXQI-XhUE	0.0
JdYogtrXP28	0.0
YCFod0zOeeU	0.0
vc2hjMDkAZ8	0.0
HHdqhXl70rQ	0.0
FWvdlUNsNBw	0.0
xD-ip8S-oV0	1.0
PTtDjZ9tdJ0	0.0
rO80adKOf1Y	0.0
Fa-pX0r76Ww	0.0
E_cZHP4xN5w	1.0
aoKUiMQQXtE	1.0
ZS2TwbEzQTk	0.0
