,categories,channel_id_nunique,display_id_count,view_count_sum,view_count_mean,view_count_median,view_count_gmean,like_count_sum,like_count_mean,like_count_median,like_count_gmean,dislike_count_sum,dislike_count_mean,dislike_count_median,dislike_count_gmean,duration_sum,duration_mean,duration_median,duration_gmean
0,,76,108,7846751.0,72655.10185185185,3414.0,4815.987783297047,3249.0,112.03448275862068,8.0,,1595.0,55.0,1.0,,72818,674.2407407407408,188.0,271.1475379957557
1,Autos & Vehicles,5833,345724,20980071296.0,60684.45145838877,3513.0,0.0,191712583.0,569.964184100916,42.0,,15368358.0,45.69034275877857,2.0,,150956693,436.63932211822146,235.0,238.7493476251327
2,Comedy,8509,212665,62113622089.0,292075.359084561,6860.0,,1363212113.0,6494.547967851511,150.0,,50692303.0,241.50577176859568,6.0,,121388417,570.7964027931254,244.0,214.73670547910584
3,Education,10726,660003,92249029400.0,139773.37444506734,2407.0,,572251401.0,935.4349594359778,46.0,,78119596.0,127.69877188193198,2.0,,625998873,948.4788296416834,406.0,430.3646988494844
4,Entertainment,28081,2176261,460031105843.0,211386.776189625,5030.0,,4236892710.0,1984.184524935701,65.0,,326746982.0,153.01928786717943,4.0,,1412194164,648.9084553736891,262.0,272.72247129207386
5,Film & Animation,12497,430470,112593378544.0,261559.1761191256,5609.0,0.0,764949009.0,1810.7916385560993,80.0,,67422275.0,159.6023922980596,4.0,,309352175,718.6381745533952,214.0,217.44695229909274
6,Gaming,20221,2478332,194524064567.0,78489.91360600597,4441.0,0.0,3119850198.0,1270.6993205912456,95.0,,148361481.0,60.42688627468869,4.0,,4093640415,1651.7724078129968,759.0,744.2213576183295
7,Howto & Style,16408,702145,85538263110.0,121824.21452833817,6215.0,0.0,1249287216.0,1840.87967039768,148.0,,64773096.0,95.4460064010751,6.0,,437913427,623.679477885622,406.0,376.34182631093233
8,Music,24813,1320471,375649818638.0,284482.1185790806,3481.0,,3377430804.0,2590.4635272136547,64.0,,165585649.0,127.00292300777576,2.0,,719774023,545.0888531440676,232.0,267.1241748852972
9,News & Politics,3700,1290183,24433604606.0,18938.620642453923,658.0,,286958604.0,227.65747443045686,6.0,,33869738.0,26.870422789975915,1.0,,704821763,546.2959618906775,158.0,203.99325074217126
10,Nonprofits & Activism,1814,118501,2852162561.0,24069.085485953467,1229.0,,44448087.0,398.3231799118185,23.0,,2392507.0,21.440540201455352,1.0,,166357114,1403.8456553109256,602.0,537.6873640809481
11,People & Blogs,29975,1411483,154353285545.0,109356.79279684582,3083.0,,2249789823.0,1625.9936276777196,71.0,,133147439.0,96.22982784539332,3.0,,989145301,700.7844239002525,373.0,339.79830832199565
12,Pets & Animals,2623,101161,13611576680.0,134553.59950969246,2348.0,0.0,131376424.0,1346.414798872662,53.0,,8404308.0,86.13177555726364,2.0,,56966268,563.1248010596969,203.0,203.84265631223576
13,Science & Technology,7294,390603,33671215656.0,86203.38773482983,3795.0,,398061477.0,1038.6876903205605,48.0,,34813522.0,90.84118621733401,4.0,,263554859,674.7384403089582,286.0,297.9627099756298
14,Sports,6867,687902,49389633956.0,71797.58999623492,3355.0,,519773126.0,765.0090016101638,40.0,,27708562.0,40.78183017040654,2.0,,426203578,619.5701974990624,201.0,218.0098803999794
15,Travel & Events,4755,160395,10532784343.0,65667.78480002494,2225.0,0.0,89409757.0,575.4671588283377,35.0,,6523696.0,41.98840180473582,2.0,,83454631,520.3069360017457,250.0,237.41112511718396
